업체명,연락처,업종,업태,행정동,도로명 주소,위도,경도,데이터 기준일자
타올할인백화점,,도소매,"타올,잡화,판촉물",해도동,경상북도 포항시 남구 상공로 237-1(해도동),36.0231968,129.3717292,2019-08-07
SS할인마트,,도소매,슈퍼,해도동,경상북도 포항시 남구 해동로 84 (해도동),36.0268041,129.3726497,2019-08-07
식후경식당,,음식점,한식,해도동,경상북도 포항시 남구 문예로 172 (해도동),36.0184634,129.3727467,2019-08-07
자금성반점,054-274-9109,음숙,중식,해도동,경상북도 포항시 남구 중앙로 41번길 6 (해도동),36.0170007,129.3694492,2019-08-07
해물&곰장어,,음식,한식,해도동,"경상북도 포항시 남구 축항로 10 (해도동,1층)",36.0285429,129.3696455,2019-08-07
하정미용실,,서비스,미용,해도동,경상북도 포항시 남구 상공로221번길 52 (해도동),36.0273187,129.3689796,2019-08-07
퀸즈헤나,,소매,미용재료,해도동,경상북도 포항시 남구 해동로 103 (해도동),36.0285298,129.3717999,2019-08-07
신고려약초,,도소매,"농산물,건강보조식품",해도동,경상북도 포항시 남구 상공로 233번길 16 (해도동),36.0243166,129.3711001,2019-08-07
대한카클리닉,,"소매,서비스","자동차용품,자동차부분정비",해도동,경상북도 포항시 남구 해동로 99 (해도동),36.0282149,129.3717284,2019-08-07
꼼돈짜루,,음숙,한식,해도동,경상북도 포항시 남구 양학천로 198 (해도동),36.0278673,129.366525,2019-08-07
아모르노래연습장,,서비스,노래연습장,해도동,경상북도 포항시 남구 중앙로 158번길 3 (해도동),36.0273844,129.3680068,2019-08-07
닥터커피앤휴,,음식,휴게음식,해도동,경상북도 포항시 남구 중앙로 158번길 3 (해도동),36.0273844,129.3680068,2019-08-07
하림각,,음숙,중식,해도동,경상북도 포항시 남구 중앙로 122번길 6-1(해도동),36.0239807,129.3691545,2019-08-07
포항한우촌축산명가,,음숙,한식,해도동,경상북도 포항시 남구 상공로 231(해도동),36.0231601,129.3709243,2019-08-07
태학건강원,,제조,건강원,해도동,경상북도 포항시 남구 상공로 245(해도동),36.0233235,129.3725201,2019-08-07
살롬헤어샵,,서비스,미용실,해도동,경상북도 포항시 남구 문예로 163-2(해도동),36.0186117,129.3718231,2019-08-07
새럭키약국,054-247-6367,소매,양약,해도동,경상북도 포항시 남구 중앙로 62(해도동),36.0188115,129.3699353,2019-08-07
그린정보통신,,도소매,핸드폰,해도동,경상북도 포항시 남구 중앙로 58(해도동),36.0183165,129.3700511,2019-08-07
최자매식당,,음식점,한식,해도동,경상북도 포항시 남구 문예로 151-1 (해도동),36.0183469,129.3703836,2019-08-07
유진타월포항총판,,도소매,수건,해도동,"경상북도 포항시 남구 중앙로 70, 1층 103호 (해도동, 센트럴파크2차)",36.0194032,129.3698981,2019-08-07
협성카정비,,서비스,정비,해도동,경상북도 포항시 남구 문예로 149 (해도동),36.0183744,129.3702045,2019-08-07
대동인쇄,,제조,"인쇄,광고",해도동,경상북도 포항시 남구 중앙로 91번길 10 (해도동),36.0211425,129.3678293,2019-08-07
이리오소이리와돈,,음숙,한식,해도동,경상북도 포항시 남구 상공로 174번길 32-6 (해도동),36.0213511,129.3680368,2019-08-07
청와삼대,,음식점,한식,해도동,"경상북도 포항시 남구 중앙로 91번길 6 , 1층 (해도동)",36.0214765,129.3682807,2019-08-07
타이어프로,,도소매,자동차관련,해도동,경상북도 포항시 남구 중앙로 80 (해도동),36.0204317,129.3696327,2019-08-07
뉴경북여행사,,서비스,여행,해도동,경상북도 포항시 남구 중앙로 82 (해도동),36.0205616,129.3696215,2019-08-07
서울수퍼,,소매,"식품,잡화",해도동,경상북도 포항시 남구 문예로 159(해도동),36.018501,129.3713433,2019-08-07
해맞이빵,,제조,과자빵,해도동,경상북도 포항시 남구 중앙로 150 (해도동),36.0263884,129.3679922,2019-08-07
광명마트,,소매,슈퍼,해도동,경상북도 포항시 남구 중앙로 27번길 7(해도동),36.0154549,129.369569,2019-08-07
무이봉,,음식점,한식,해도동,"경상북도 포항시 남구 중앙로 77번길 5, 1층 (해도동)",36.0199653,129.368608,2019-08-07
통큰한우식육점,,도소매,식육,해도동,경상북도 포항시 남구 중앙로 67번길 6 (해도동),36.0192569,129.3687978,2019-08-07
꼼므,,음식점,한식,해도동,경상북도 포항시 남구 중앙로 96,36.0216734,129.3692815,2019-08-07
장수추어탕,,음식점,한식,해도동,"경상북도 포항시 남구 중앙로 92번길 1, 101호(해도동)",36.0213945,129.3693872,2019-08-07
대원오토바이,,도소매,이륜차,해도동,경상북도 포항시 남구 중앙로 92(해도동),36.021374,129.3692248,2019-08-07
금성바이크,,도소매,"자전거,스포츠용품",해도동,"경상북도 포항시 남구 중앙로 100-1, 1층(해도동)",36.0221825,129.3690694,2019-08-07
동경구락부,,음숙,한식,해도동,경상북도 포항시 남구 상공로 234 (해도동),36.0226044,129.3713164,2019-08-07
땡큐마트,,도소매,슈퍼,해도동,경상북도 포항시 남구 상공로 234-1 (해도동),36.0228364,129.3715023,2019-08-07
해동반점,054-275-7236,음식,중식,해도동,경상북도 포항시 남구 중앙로 92번길 4(해도동),36.0212618,129.3695339,2019-08-07
다비디헤어,,서비스,미용,해도동,"경상북도 포항시 남구 상공로 234-1, 1층 (해도동)",36.0228364,129.3715023,2019-08-07
한상용자동차병원,,서비스,자동차수리,해도동,경상북도 포항시 남구 상공로 222(해도동),36.022554,129.3699697,2019-08-07
인성약국,054-282-5006,소매,의약품,해도동,"경상북도 포항시 남구 중앙로 102(해도동, 1층)",36.0223354,129.3689818,2019-08-07
별마루주유소,,도소매,주유소,해도동,경상북도 포항시 남구 상공로 224,36.0225441,129.3702119,2019-08-07
의성꽃화원,,도소매,화원,해도동,경상북도 포항시 남구 상공로 216-1,36.0225029,129.3695405,2019-08-07
장미사진관,,서비스,사진촬영,해도동,경상북도 포항시 남구 해동로 60,36.0247291,129.3731565,2019-08-07
해도장식,,"소매,건설","기타지류,철물제작",해도동,경상북도 포항시 남구 해동로 94-1 (해도동),36.0277958,129.372387,2019-08-07
해송갈비,,음숙,한식,해도동,경상북도 포항시 남구 해동로60번길 20(해도동),36.0250385,129.3750761,2019-08-07
라일락모텔,,숙박,모텔,해도동,경상북도 포항시 남구 중앙로 157번길 8-8(해도동),36.0275089,129.3666867,2019-08-07
트윈모텔,,숙박,여관,해도동,경상북도 포항시 남구 양학천로 198-1(해도동),36.0277452,129.3666523,2019-08-07
터미널오토타운,,소매,카인테리어,해도동,경상북도 포항시 남구 양학천로 200(해도동),36.0278755,129.3666697,2019-08-07
세운전자,,도소매,음향기기및전자부품,해도동,경상북도 포항시 남구 양학천로 194-1(해도동),36.0278027,129.3661213,2019-08-07
천수한방삼계탕,,음식,한식,해도동,경상북도 포항시 남구 중앙로 157(해도동),36.0271889,129.3670902,2019-08-07
다모아종합상사,,"도소매,건설업","중고품,사무용품,생활가전,주택보수",해도동,경상북도 포항시 남구 상공로 227-1 (해도동),36.023058,129.3706213,2019-08-07
탑피시방,,서비스,PC방,해도동,경상북도 포항시 남구 상공로 241 (해도동),36.0233023,129.3720792,2019-08-07
대경오토바이총판,,도소매,이륜자동차및부품,해도동,경상북도 포항시 남구 중앙로 118-1(해도동),36.0237136,129.3685913,2019-08-07
신세계안경원,,소매,안경,해도동,경상북도 포항시 남구 중앙로 108(해도동),36.0227971,129.3688527,2019-08-07
해도의원,,의료업,일반의원,해도동,경상북도 포항시 남구 해동로 103-1(해도동),36.0286373,129.3717479,2019-08-07
리더스마트,,도소매,슈퍼,해도동,경상북도 포항시 남구 축항로 2(해도동),36.0283296,129.368805,2019-08-07
왕생굴구이해도점,,음식,한식,해도동,경상북도 포항시 남구 양학천로 216(해도동),36.0282787,129.3683738,2019-08-07
호미곶찰보리빵커피,,음식,휴게음식,해도동,경상북도 포항시 남구 중앙로 166 (해도동),36.0280986,129.3680602,2019-08-07
호미곶커피,,음식,휴게음식,해도동,경상북도 포항시 남구 축항로 14-1 (해도동),36.0286017,129.3701436,2019-08-07
돈벼락,,음식,한식,해도동,경상북도 포항시 남구 문예로 179 (해도동),36.0188737,129.3734648,2019-08-07
꾸버꾸버삼겹살,,음식,한식,해도동,경상북도 포항시 남구 중앙로 67번길 3(해도동),36.0190811,129.3691226,2019-08-07
빨강머리,,서비스,미용,해도동,경상북도 포항시 남구 중앙로 91번길 14(해도동),36.0210809,129.3673927,2019-08-07
복떡집,,제조,떡,해도동,경상북도 포항시 남구 중앙로 77번길 5 (해도동),36.0199653,129.368608,2019-08-07
유성사진관,,서비스,사진관,해도동,경상북도 포항시 남구 중앙로 65 (해도동),36.0190019,129.36927,2019-08-07
와바라,,음숙,소주방,해도동,경상북도 포항시 남구 상공로 226 (해도동),36.0226418,129.3704426,2019-08-07
태원각,,음숙,한식,해도동,경상북도 포항시 남구 중앙로 91번길 8-1(해도동),36.0211642,129.3679511,2019-08-07
오디코디대리점,,소매,"잡화,농산물",해도동,"경상북도 포항시 남구 중앙로 77번길 7, 1층(해도동,인피니트상가)",36.0199252,129.3683772,2019-08-07
로타리꽃화원,,소매,생화,해도동,경상북도 포항시 남구 상공로 236-1(해도동),36.0228602,129.3717627,2019-08-07
초원식당,,음식점,분식,해도동,"경상북도 포항시 남구 중앙로 77번길 6(해도동,1층)",36.0201366,129.3685664,2019-08-07
국제숯불갈비살,054-282-8300,음숙,한식,해도동,경상북도 포항시 남구 문예로 175 (해도동),36.0187931,129.3730075,2019-08-07
경일공구철물,,도소매,"기계,철물",해도동,경상북도 포항시 남구 해동로 11 ,36.0204355,129.3738989,2019-08-07
밧대리할인매장,,도소매,밧데리,해도동,경상북도 포항시 남구 희망대로 985(해도동),36.0193962,129.3741686,2019-08-07
통큰식육유통,,도소매,식육점,해도동,경상북도 포항시 남구 중앙로 122번길 25 (해도동),36.0245111,129.3711181,2019-08-07
SP플러스,,소매,슈퍼,해도동,경상북도 포항시 남구 중앙로 122번길 34(해도동),36.0242775,129.3721418,2019-08-07
왕성식육점,,도소매,식육,해도동,경상북도 포항시 남구 중앙로 134번길 27(해도동),36.0258068,129.3709535,2019-08-07
명품수산,,도소매,수산물,흥해읍,"경상북도 포항시 북구 흥해읍 사방공원길 575, 1층",36.1602394,129.3942568,2019-08-07
해도참기름,,제조,즉석판매,해도동,경상북도 포항시 남구 중앙로 122번길 29-2 (해도동),36.0247363,129.3717254,2019-08-07
동해쌍방울,,소매,메리야스,해도동,경상북도 포항시 남구 중앙로 134번길 29-8(해도동),36.0260392,129.3714913,2019-08-07
콜마트,,소매,슈퍼,해도동,경상북도 포항시 남구 중앙로 134번길 29-6 (해도동),36.0259269,129.3714888,2019-08-07
허준건강마트,,도소매,슈퍼,해도동,경상북도 포항시 남구 중앙로 134번길 36 (해도동),36.0256037,129.3719396,2019-08-07
해도BYC,,소매,내의,해도동,경상북도 포항시 남구 중앙로 146번길 30-6 (해도동),36.0263106,129.3710659,2019-08-07
세림홈패션,,소매,카페트,해도동,경상북도 포항시 남구 중앙로 134번길 31(해도동),36.0257121,129.3715491,2019-08-07
금강한우전문점,,소매,식육,해도동,경상북도 포항시 남구 중앙로 134번길 27(해도동),36.0258068,129.3709535,2019-08-07
해도발사랑,,소매,신발,해도동,경상북도 포항시 남구 중앙로 146번길 30-11(해도동),36.0261813,129.371577,2019-08-07
늘푸른상회,,도소매,수산물,해도동,"경상북도 포항시 남구 중앙로 134번길 30, 1층 5호(해도동)",36.0254851,129.3712721,2019-08-07
고래불막썰어,,소매,"조개,활어",해도동,경상북도 포항시 남구 중앙로 146번길 30-2(해도동),36.0264479,129.3710167,2019-08-07
맛있는떡집,,제조,떡,해도동,경상북도 포항시 남구 중앙로 122번길 29-11(해도동),36.0248686,129.3714446,2019-08-07
행복떡집,,소매,떡,해도동,경상북도 포항시 남구 중앙로 134번길 29(해도동),36.0257539,129.3714283,2019-08-07
형제떡집,,제조,떡,해도동,경상북도 포항시 남구 중앙로 146번길 30-5(해도동),36.0263914,129.3712965,2019-08-07
동해상회,,소매,"식잡,담배",해도동,경상북도 포항시 남구 중앙로 134번길 27(해도동),36.0258068,129.3709535,2019-08-07
대풍청과물,,도소매,과일,해도동,경상북도 포항시 남구 중앙로 146번길 30-12(해도동),36.0261875,129.3710924,2019-08-07
뭐입을래&비니커피,,소매,의류,해도동,경상북도 포항시 남구 중앙로 122번길 28-1 (해도동),36.0243801,129.3714623,2019-08-07
해도화장품,,소매,화장품,해도동,경상북도 포항시 남구 중앙로 122번길 32 (해도동),36.0244521,129.3719516,2019-08-07
해도그린마트,,도소매,슈퍼,해도동,경상북도 포항시 남구 중앙로 134번길 30-1 (해도동),36.0254647,129.3715224,2019-08-07
명금당,,소매,귀금속,해도동,경상북도 포항시 남구 중앙로 122번길 33 (해도동),36.0246613,129.3719525,2019-08-07
세진식육점,,소매,식육,해도동,경상북도 포항시 남구 중앙로 122번길 33-1(해도동),36.0246953,129.3720726,2019-08-07
사계절활어,,도소매,활어,해도동,경상북도 포항시 남구 중앙로 122번길 29-3 (해도동),36.0247497,129.371461,2019-08-07
새포항대리점,,도소매,화장품,해도동,경상북도 포항시 남구 중앙로 122번길 29-3 (해도동),36.0247497,129.371461,2019-08-07
백장건어물,,소매,건어,해도동,경상북도 포항시 남구 중앙로 122번길 29-11(해도동),36.0248686,129.3714446,2019-08-07
풍산반찬,,소매,식품,해도동,경상북도 포항시 남구 중앙로 134번길 27(해도동),36.0258068,129.3709535,2019-08-07
고향즉석두부,054-281-7882 ,제조,즉석가공(두부),해도동,경상북도 포항시 남구 중앙로 122번길 29-4(해도동),36.0248235,129.3717084,2019-08-07
천지개벽,,소매,의류,해도동,경상북도 포항시 남구 중앙로 122번길 29-6 (해도동),36.0249593,129.3718623,2019-08-07
동해고래1번지,,음숙,한식,해도동,경상북도 포항시 남구 중앙로 122번길 32 (해도동),36.0244521,129.3719516,2019-08-07
구룡포수산,,소매,생선,해도동,경상북도 포항시 남구 중앙로 134번길 30-7(해도동),36.0252475,129.3715837,2019-08-07
선비골농산,,도소매,농산물,해도동,경상북도 포항시 남구 중앙로 122번길 33(해도동),36.0246613,129.3719525,2019-08-07
동해제탕원,,음숙,가공식품,해도동,경상북도 포항시 남구 중앙로 122번길 31(해도동),36.0246285,129.3717655,2019-08-07
영천한우식육점,,도소매,식육,해도동,경상북도 포항시 남구 중앙로 122번길 29-2(해도동),36.0247363,129.3717254,2019-08-07
장수족발과메기,,음식점,한식,해도동,경상북도 포항시 남구 중앙로 122번길 29-13 (해도동),36.0249731,129.3714122,2019-08-07
진미당,,음식점,빵,해도동,경상북도 포항시 남구 중앙로 122번길 29-1(해도동),36.0246542,129.3714951,2019-08-07
모퉁이 돌아서면,,소매,의류,해도동,경상북도 포항시 남구 중앙로 134번길 35-1(해도동),36.0259175,129.3718367,2019-08-07
원앙떡집,,제조,떡,해도동,경상북도 포항시 남구 중앙로 134번길 27(해도동),36.0258068,129.3709535,2019-08-07
용선식품,,도소매,식품,해도동,경상북도 포항시 남구 중앙로 134번길 27 (해도동),36.0258068,129.3709535,2019-08-07
은성이불,,소매,침구,해도동,경상북도 포항시 남구 중앙로 134번길 27(해도동),36.0258068,129.3709535,2019-08-07
양지상회,,도소매,건어물,해도동,"경상북도 포항시 남구 중앙로 134번길 27(해도동,동해시장 다-22)",36.0258068,129.3709535,2019-08-07
포항수협중매인340,,도소매,활어,해도동,경상북도 포항시 남구 중앙로 134번길 29 (해도동),36.0257539,129.3714283,2019-08-07
가마솥통닭,,음식점,일반음식,해도동,"경상북도 포항시 남구 중앙로 134번길 35, 1층 (해도동)",36.025787,129.3718758,2019-08-07
샤인마트,,도소매,슈퍼,해도동,"경상북도 포항시 남구 중앙로 41번길 29, 1층 (해도동)",36.0155386,129.367606,2019-08-07
시집못간꽃돼지,,음식점,한식,해도동,경상북도 포항시 남구 문예로 174-1 (해도동),36.018512,129.3730542,2019-08-07
무봉리토종순대국,,음숙,한식,해도동,경상북도 포항시 남구 문예로 184(해도동),36.0186448,129.3738209,2019-08-07
동화WIN포항총판,,도소매,냉동부품,해도동,경상북도 포항시 남구 희망대로 969 (해도동),36.0179777,129.3735845,2019-08-07
형제타이어해도점,,도소매,자동차관련,해도동,경상북도 포항시 남구 중앙로 5 (해도동),36.0136331,129.3703499,2019-08-07
벗꽃마을버섯,,음식점,한식,해도동,"경상북도 포항시 남구 희망대로 963, 1층(해도동)",36.0175696,129.3734987,2019-08-07
SK 강변주유소,,도소매,주유소,해도동,경상북도 포항시 남구 희망대로 971(해도동),36.0183209,129.3735322,2019-08-07
정미소,,음식점,한식,해도동,경상북도 포항시 남구 희망대로 973 (해도동),36.0185338,129.3738373,2019-08-07
KR모터스 포항용대리점,,도소매,이륜자동차,해도동,경상북도 포항시 남구 희망대로 949 (해도동),36.0164805,129.3731031,2019-08-07
천안문,054-282-8650,음식,한식,해도동,경상북도 포항시 남구 문예로 178(해도동),36.0185801,129.3733598,2019-08-07
송정식당,054-283-9174,음숙,한식,해도동,경상북도 포항시 남구 문예로 176(해도동),36.0185438,129.37322,2019-08-07
낙동생오리 형산로타리점,,음식,음식,해도동,경상북도 포항시 남구 중앙로 11번길 14 (해도동),36.0137811,129.369265,2019-08-07
홈마트(형산점),,도소매,슈퍼,해도동,경상북도 포항시 남구 중앙로 30 (해도동),36.0158729,129.370609,2019-08-07
금강타일도기 종합상사,,도소매,"타일,도기",해도동,경상북도 포항시 남구 상공로 260-1 (해도동),36.0231469,129.374073,2019-08-07
부경카정비세차,,서비스,정비,해도동,경상북도 포항시 남구 상공로 262-1 (해도동),36.023168,129.3744576,2019-08-07
동부경동보일러,,도매,보일러,해도동,경상북도 포항시 남구 양학천로 226(해도동),36.0292573,129.3690118,2019-08-07
금호1주유소,054-272-5220,도소매,주유소,해도동,경상북도 포항시 남구 상공로 270 (해도동),36.0234419,129.3752256,2019-08-07
만석군갈비,054-273-4994,음숙,한식,해도동,경상북도 포항시 남구 해동로 114(해도동),36.0295031,129.3719358,2019-08-07
컴퓨터전문점,,도소매,컴퓨터,해도동,경상북도 포항시 남구 해동로 121 (해도동),36.0302224,129.3712775,2019-08-07
통영굴국밥해도점,,음식,한식,해도동,경상북도 포항시 남구 상공로 272 (해도동),36.0235424,129.3755713,2019-08-07
강구대게홍게촌,,음숙,한식,해도동,경상북도 포항시 남구 해동로 126(해도동),36.0304998,129.371683,2019-08-07
시골추어탕&도시오리,,음식점,한식,해도동,경상북도 포항시 남구 해동로 125-1(해도동),36.0304855,129.3711308,2019-08-07
숙이네식당,054-281-6480,음숙,한식,해도동,경상북도 포항시 남구 해동로 112(해도동),36.02932,129.3719825,2019-08-07
동아수퍼,054-273-1490,소매,슈퍼,해도동,경상북도 포항시 남구 해동로129번길 11-2(해도동),36.0306167,129.3699521,2019-08-07
로얄카오디오,,도소매,카오디오,해도동,경상북도 포항시 남구 해동로 4(해도동),36.019871,129.3744171,2019-08-07
동해낚시,,소매,낚시장비,해도동,경상북도 포항시 남구 희망대로 1001-1(해도동),36.0208431,129.3749632,2019-08-07
아름솔잎반점,,음식,중식,해도동,경상북도 포항시 남구 양학천로 252-2 (해도동),36.0312905,129.3697966,2019-08-07
삼일타이어,,서비스,정비,해도동,경상북도 포항시 남구 희망대로 993(해도동),36.0202067,129.374572,2019-08-07
장모님국밥,054-277-7660,음식,한식,해도동,경상북도 포항시 남구 해동로 70 (해도동),36.0256169,129.3729633,2019-08-07
(사)대한노년자원봉사회,,제조,"참기름,도시락",해도동,경상북도 포항시 남구 축항로 19-12(해도동),36.0295157,129.3706119,2019-08-07
포항축산농협 축산물프라자 해도점,054-277-7031,도소매,도소매,해도동,경상북도 포항시 남구 희망대로 865(해도동),36.0114928,129.3672221,2019-08-07
가마솥 통닭,,음식,통닭,해도동,경상북도 포항시 남구 중앙로 67번길 2(해도동),36.0192269,129.3690811,2019-08-07
양학온천프라자,054-275-3011,서비스,목욕탕,양학동,경상북도 포항시 북구 양학로 61(득량동),36.0284875,129.3474827,2019-08-07
세진학원,054-255-6100,서비스,학원,양학동,경상북도 포항시 북구 양학로 80(학잠동),36.029587,129.3465482,2019-08-07
김세진학원,054-251-3000,서비스,학원,양학동,경상북도 포항시 북구 양학로 80(학잠동),36.029587,129.3465482,2019-08-07
경성상회,,소매,슈퍼,양학동,"경상북도 포항시 북구 대이로 176번길15, 103동 101호(득량동, 경성홈타운상가)",36.0310939,129.3401391,2019-08-07
양학꽃마을,,소매,생화,양학동,경상북도 포항시 북구 양학로 32번길 10(학잠동),36.0261974,129.3512361,2019-08-07
그린식육점,,도소매,식육,양학동,경상북도 포항시 북구 양학로 40 24호41호(학잠동),36.0272657,129.3497413,2019-08-07
왜관청과,,도소매,과일,양학동,경상북도 포항시 북구 양학로 40(학잠동),36.0272657,129.3497413,2019-08-07
부산참기름,,제조,방앗간,양학동,경상북도 포항시 북구 양학로 40(학잠동),36.0272657,129.3497413,2019-08-07
강원식당,054-281-9439,음숙,한식,양학동,경상북도 포항시 북구 양학로 40(학잠동),36.0272657,129.3497413,2019-08-07
양학시장식육점,,도소매,식육,양학동,경상북도 포항시 북구 양학로 40(학잠동),36.0272657,129.3497413,2019-08-07
낙원떡집,,제조,떡,양학동,"경상북도 포항시 북구 양학로 36 ,1층(학잠동)",36.0269868,129.3500326,2019-08-07
메디팜우호약국,,소매,양약,양학동,경상북도 포항시 북구 양학로 36(학잠동),36.0269868,129.3500326,2019-08-07
72번,,도소매,슈퍼,양학동,경상북도 포항시 북구 양학로 34번길 1(학잠동),36.0269585,129.350168,2019-08-07
박민헤어라인,,서비스,미용,양학동,경상북도 포항시 북구 양학로 32번길 1-1(학잠동),36.0266647,129.350557,2019-08-07
은설이네 네일 앤 속눈썹,,서비스,미용,양학동,"경상북도 포항시 북구 양학로 32번길 3, 1층(학잠동)",36.0266438,129.3506669,2019-08-07
통큰왕만두,,음식,만두,양학동,경상북도 포항시 북구 양학로 32번길 1-1(학잠동),36.0266647,129.350557,2019-08-07
월드마트,,도소매,슈퍼,양학동,경상북도 포항시 북구 양학로 30(학잠동),36.0264269,129.3504957,2019-08-07
탑하우징(구장식나라),,도소매,인테리어,양학동,경상북도 포항시 북구 양학로 24(득량동),36.025968,129.3506551,2019-08-07
오마트,,도소매,슈퍼,양학동,"경상북도 포항시 북구 이동로 48-2, 1층(득량동)",36.0320915,129.3406152,2019-08-07
경북15바7530,,운수,택시,양학동,"경상북도 포항시 북구 양학로 59, 3-1004(득량동.삼성푸른아파트)",36.0277751,129.3476237,2019-08-07
팀 메이커스(TiM Makers),,제조,상품제조,양학동,경상북도 포항시 북구 새천년대로 499 2층 팀메이커스(득량동) ,36.0198611,129.348419,2019-08-07
동진횟집식당,,음숙,한식,양학동,경상북도 포항시 북구 양학로 40(학잠동),36.0272657,129.3497413,2019-08-07
영덕횟집,,소매,활어,양학동,"경상북도 포항시 북구 양학로 40(학잠동), 38호",36.0272657,129.3497413,2019-08-07
현대수퍼,,소매,슈퍼,양학동,경상북도 포항시 북구 득량길 48(득량동),36.0260854,129.3484675,2019-08-07
온새미로약국,,소매,약국,양학동,"경상북도 포항시 북구 양학로 51, 반도상가 105호(득량동)",36.0278291,129.3484041,2019-08-07
김밥365,,음숙,간이음식,양학동,경상북도 포항시 북구 양학로 67(득량동),36.0290857,129.3473238,2019-08-07
블루라인,,서비스,미용,양학동,"경상북도 포항시 북구 양학로 51, 반도상가 107호(득량동)",36.0278291,129.3484041,2019-08-07
양문호자동차병원,,서비스,정비,양학동,경상북도 포항시 북구 양학로 85(득량동),36.0294048,129.3459231,2019-08-07
백만송이장미,,소매,생화,양학동,경상북도 포항시 북구 양학로 70-11(학잠동),36.0296931,129.3474879,2019-08-07
